Time,Patch,mWW,mWH,mWR,mWB,mHH,mHR,mHB,mRR,mRB,mBB,fWW,fWH,fWR,fWB,fHH,fHR,fHB,fRR,fRB,fBB
147,2,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
