"Time","mWW","mWH","mWR","mWB","mHH","mHR","mHB","mRR","mRB","mBB","fWW","fWH","fWR","fWB","fHH","fHR","fHB","fRR","fRB","fBB"
177,7587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,7975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,8478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,8796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,8907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,8856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,9053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,9100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,9245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,9151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,9244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,9411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,9446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,9507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,9561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,9532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,9541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,9544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,9704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,9588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,9516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,9639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,9382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,9256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,9068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,9125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,9039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,9052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,8890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,8575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,8515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
